"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2023,590900311,328.884882157,G2,1,2,65,G5,2,3,G1,Q1,D01,Q1,D01,832,832,0,50,0,0,0,0,350,350,0,0,0,0,0,0,0,400,400,0,482,1116,1011,30,2,1,2,1,2,,2,2,,1
2023,590900331,359.600445222,G2,1,2,67,G5,2,1,G2,Q4,D08,Q5,D10,203734,6734,0,0,197000,194000,17000,177000,0,0,0,0,0,0,0,0,0,30,30,0,203734,8338,7329,,2,1,2,2,2,,,,,
2023,590900351,330.417903517,G2,2,2,68,G5,3,3,G2,Q2,D04,Q1,D01,639,639,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,200,70,130,639,3694,3322,,2,3,2,1,2,,,,,
2023,590900361,366.151543502,G2,2,2,63,G5,3,3,G2,Q2,D03,Q1,D02,2250,2250,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,2485,2459,,1,1,4,2,2,,,,,
2023,591000202,523.612213727,G2,1,4,44,G3,2,1,G2,Q4,D08,Q4,D08,52650,7550,0,0,45100,45000,45000,0,0,0,0,0,0,0,0,0,0,3561,3500,61,52650,9647,8131,,1,1,3,2,2,,,,,
2023,591000212,533.99384205,G2,1,3,52,G4,2,1,G1,Q5,D10,Q5,D09,105920,12720,0,0,93200,90000,90000,0,14274,14274,6874,6874,0,7400,0,7400,0,940,512,428,91646,17447,12639,30,2,1,3,1,1,,3,2,,1
2023,591000232,571.025486304,G2,1,3,49,G3,2,1,G1,Q5,D09,Q5,D10,113774,17674,5000,0,96100,87000,87000,0,3800,3800,2800,2800,0,1000,0,1000,0,1720,1600,120,109974,11879,10319,30,1,7,3,1,1,,1,2,,1
2023,591000302,519.548983861,G2,2,1,82,G5,3,5,G2,Q1,D01,Q1,D01,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,744,733,,1,4,4,1,2,,,,,
2023,591000322,465.048296332,G2,2,1,65,G5,3,3,G2,Q1,D02,Q1,D02,1450,1450,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,2260,2157,,1,1,3,1,2,,,,,
2023,591000342,1002.502542436,G2,1,4,37,G2,2,3,G2,Q3,D05,Q4,D07,32980,31380,12200,10000,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32980,4600,3582,,2,1,2,1,2,,,,,
2023,591000352,1428.815650091,G2,1,4,39,G2,2,3,G1,Q3,D06,Q2,D04,17930,17330,4400,7700,600,0,0,0,5500,5500,0,0,0,5500,5500,0,0,590,500,90,12430,5776,4902,,2,1,1,1,3,1,3,2,,2
2023,591100212,186.067797456,G2,2,1,63,G5,3,1,G1,Q2,D04,Q5,D09,130550,3350,0,0,127200,127000,70000,57000,40000,30000,30000,30000,0,0,0,0,0,900,0,900,90550,3844,2720,,1,1,2,2,2,,2,2,,2
2023,591100222,347.685734346,G2,1,2,87,G5,2,1,G1,Q3,D06,Q5,D10,154962,11542,200,0,143420,141120,70000,71120,5000,0,0,0,0,0,0,0,0,0,0,0,149962,6248,5481,,1,1,2,2,2,,,,,
2023,591100232,1315.644400422,G2,1,3,44,G3,2,1,G1,Q3,D06,Q4,D08,79100,8100,7000,0,71000,70000,70000,0,19500,19500,19000,19000,0,500,0,500,0,1080,1000,80,59600,6595,5307,,3,7,3,1,1,,1,2,,2
2023,591100302,160.062969069,G2,2,2,69,G5,3,4,G2,Q1,D02,Q1,D02,1711,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,1764,1761,,2,1,4,1,2,,,,,
2023,591100312,670.855712346,G2,1,3,55,G4,2,1,G1,Q5,D10,Q5,D10,134873,27973,3676,0,106900,105000,40000,65000,22500,21000,15000,0,0,6000,0,6000,0,840,0,840,112373,14512,10778,,3,1,1,2,3,9,3,2,,3
2023,591100322,411.037524583,G2,1,4,40,G3,2,1,G1,Q4,D08,Q5,D09,84518,9418,4200,0,75100,73000,60000,13000,500,0,0,0,0,0,0,0,0,0,0,0,84018,8027,7113,,2,4,3,1,2,,,,,
2023,591100332,621.032713591,G2,2,1,60,G5,4,3,G2,Q2,D04,Q4,D08,56423,54500,0,1000,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56423,4067,3314,,1,1,2,1,2,,,,,
2023,591100352,815.873080715,G2,1,5,44,G3,2,1,G2,Q5,D09,Q4,D08,58200,4700,0,0,53500,50000,36000,14000,0,0,0,0,0,0,0,0,0,405,0,405,58200,11697,10417,,3,1,3,1,2,,,,,
2023,591100362,355.23878747,G2,1,2,69,G5,2,5,G2,Q3,D05,Q4,D07,40910,910,0,0,40000,40000,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,40910,4559,4253,,1,2,4,2,2,,,,,
2023,591200212,184.125347403,G2,2,1,45,G3,4,3,G2,Q3,D05,Q2,D03,8550,6350,0,5000,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8550,5131,4570,,2,1,3,1,2,,,,,
2023,591200232,791.423973877,G2,1,3,36,G2,2,1,G1,Q4,D07,Q4,D08,125051,6881,1124,0,118170,113380,60000,40000,67514,39514,34514,24514,10000,5000,5000,0,0,3336,2176,1160,57537,7687,5061,,2,1,3,1,3,2,3,2,,2
2023,591200302,366.394935042,G2,1,4,43,G3,2,1,G1,Q3,D06,Q4,D07,64990,2490,0,0,62500,60000,30000,30000,19700,19700,19200,19200,0,500,0,500,0,1200,200,1000,45290,6492,4552,,3,1,3,1,1,,1,2,,2
2023,591200312,585.524740592,G2,1,3,35,G2,2,2,G1,Q3,D06,Q2,D04,39315,31565,400,22000,7750,4000,0,0,29000,29000,29000,0,0,0,0,0,0,900,0,900,10315,6444,4442,,4,1,3,1,2,,2,2,,2
2023,591200332,531.300041559,G2,2,1,65,G5,3,1,G2,Q2,D03,Q2,D04,15342,2542,0,0,12800,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,15342,2953,2805,,1,1,3,1,2,,,,,
2023,591200342,387.512293614,G2,1,1,50,G4,1,1,G2,Q1,D02,Q3,D06,24810,10,0,0,24800,23000,23000,0,0,0,0,0,0,0,0,0,0,85,0,85,24810,1662,1291,,3,2,4,1,3,6,,,,
2023,591200352,171.865250208,G2,2,1,75,G5,3,1,G2,Q1,D02,Q2,D04,15300,300,0,0,15000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,2350,2113,,2,1,4,1,2,,,,,
2023,591200362,371.671220583,G2,1,2,64,G5,2,1,G2,Q4,D08,Q5,D10,114600,3000,0,0,111600,110000,60000,50000,0,0,0,0,0,0,0,0,0,0,0,0,114600,8411,7567,,2,4,3,1,2,,,,,
2023,591300202,415.00554571,G2,1,2,53,G4,2,1,G2,Q4,D07,Q4,D08,55300,300,0,0,55000,55000,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,55300,7068,5866,,2,1,1,2,2,,,,,
2023,591300222,475.172657203,G2,1,3,37,G2,2,1,G1,Q3,D06,Q4,D08,86550,3350,0,0,83200,80000,60000,20000,32410,32410,23610,23610,0,7800,7800,0,0,3100,1940,1160,54140,5507,3389,15,3,1,3,1,1,,2,2,,1
2023,591300302,420.865362487,G2,1,5,41,G3,2,1,G1,Q5,D10,Q4,D08,76018,1618,0,0,74400,40000,40000,0,23720,23720,20000,20000,0,3000,0,3000,500,1845,1070,775,52298,15592,14208,,1,1,4,2,1,,1,2,,2
2023,591300312,1248.800740717,G2,2,1,22,G1,1,3,G2,Q1,D01,Q2,D04,10320,10320,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320,715,619,,1,1,4,2,2,,,,,
2023,591300322,308.983638537,G2,2,2,65,G5,2,1,G2,Q3,D05,Q5,D09,86300,2000,0,0,84300,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,86300,4782,3846,,1,1,2,2,2,,,,,
