"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2021,010000162,1150.97946244378,G1,2,1,74,G5,3,2,G2,Q1,D02,Q3,D05,15740,15740,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15740,1718,1617,,1,3,3,2,2,,,,,
2021,010000182,1123.68235811657,G1,1,2,59,G4,2,2,G2,Q2,D03,Q2,D04,13680,13630,0,10000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13680,2977,2744,,1,1,3,1,2,,,,,
2021,010000192,1052.42734596533,G1,2,1,28,G1,1,3,G1,Q1,D01,Q1,D01,1520,1520,0,1000,0,0,0,0,400,400,0,0,0,400,400,0,0,310,300,10,1120,971,878,,1,1,4,2,2,,3,2,,2
2021,010000212,844.751427692373,G2,1,2,72,G5,2,1,G1,Q2,D04,Q3,D05,16982,10982,0,0,6000,6000,6000,0,300,0,0,0,0,0,0,0,0,0,0,0,16682,3101,2992,,1,1,2,2,2,,,,,
2021,010000222,994.288412152197,G2,1,1,53,G4,1,1,G1,Q2,D04,Q1,D01,6410,1410,0,0,5000,5000,5000,0,6500,6500,3000,0,0,0,0,0,3500,2120,1500,620,-90,3066,2137,,3,5,4,1,1,,1,2,,3
2021,010000262,1007.1105793204,G2,2,2,67,G5,2,1,G2,Q2,D03,Q5,D09,66800,1350,250,0,65450,65000,47000,18000,0,0,0,0,0,0,0,0,0,0,0,0,66800,2896,2414,,1,1,2,1,2,,,,,
2021,010000272,1393.02277438983,G2,1,4,57,G4,2,1,G2,Q5,D10,Q4,D07,40660,8810,0,0,31850,29000,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,40660,12416,9085,,4,2,2,2,2,,,,,
2021,010000282,1753.88711110979,G2,1,5,60,G5,2,1,G1,Q4,D07,Q4,D08,124500,500,0,0,124000,119000,29000,90000,76160,76160,72000,0,0,700,0,700,0,2908,740,2168,48340,6574,3022,,1,1,4,2,1,,2,2,,3
2021,010000312,2698.37180239116,G1,1,5,51,G4,2,1,G2,Q5,D09,Q5,D09,95425,16425,0,0,79000,78000,55000,23000,0,0,0,0,0,0,0,0,0,0,0,0,95425,11106,9994,,2,5,3,1,2,,,,,
2021,010000322,1887.81991465471,G1,1,3,36,G2,1,1,G1,Q3,D05,Q1,D02,5580,580,0,0,5000,5000,5000,0,2300,2300,0,0,0,1900,1900,0,400,289,235,54,3280,4860,4453,,2,2,2,1,3,9,3,1,2,2
2021,010000332,1878.48253103052,G1,2,2,28,G1,2,2,G1,Q4,D08,Q2,D04,27597,26597,5510,16750,1000,0,0,0,12900,12900,0,0,0,12900,12900,0,0,960,600,360,14697,8283,6225,,1,7,3,1,1,,1,2,,2
2021,010000342,1302.90147856751,G1,1,1,29,G1,1,2,G1,Q3,D06,Q1,D02,13930,13930,1000,12000,0,0,0,0,10500,10500,6600,0,0,3900,3300,600,0,860,600,260,3430,6030,4970,7,1,7,4,1,3,4,3,2,,1
2021,010000352,1754.76482212231,G1,2,1,66,G5,3,1,G2,Q2,D03,Q4,D07,36800,3800,0,0,33000,33000,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,36800,2502,2425,,2,1,3,2,2,,,,,
2021,010000362,1883.34013390286,G1,1,2,83,G5,2,5,G2,Q5,D09,Q3,D05,19010,19010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19010,12129,11721,,2,1,3,2,2,,,,,
2021,010000372,2237.9755614872,G1,2,4,60,G5,2,1,G1,Q5,D09,Q2,D04,58416,2616,600,0,55800,55000,55000,0,45000,45000,33000,33000,0,12000,12000,0,0,0,0,0,13416,10686,9667,,3,1,4,2,1,,1,2,,3
2021,010001102,1134.27919589016,G1,1,1,36,G2,1,3,G2,Q2,D03,Q2,D03,7056,7056,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7056,2191,2073,,2,1,4,1,2,,,,,
2021,010100112,1153.93683971223,G1,1,4,47,G3,2,1,G2,Q4,D08,Q5,D09,84410,29410,14400,0,55000,55000,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,84410,8890,8059,,1,8,4,2,2,,,,,
2021,010100172,2210.0781022866,G1,2,2,45,G3,1,1,G1,Q1,D02,Q5,D10,192340,22340,0,0,170000,170000,100000,70000,30000,0,0,0,0,0,0,0,0,0,0,0,162340,1344,1025,,1,1,3,2,2,,,,,
2021,010100182,773.679356162153,G1,2,1,69,G5,3,1,G2,Q1,D02,Q5,D10,110015,1015,0,0,109000,109000,105000,4000,0,0,0,0,0,0,0,0,0,0,0,0,110015,1496,1418,,5,3,2,2,2,,,,,
2021,010100192,1509.865690173,G1,1,3,30,G2,1,3,G1,Q5,D09,Q3,D06,24940,6040,140,2000,18900,15000,0,15000,2050,50,0,0,0,0,0,0,0,500,500,0,22890,10689,9238,10,1,2,4,2,2,,1,2,,1
2021,010100232,686.706837833576,G2,2,1,62,G5,4,3,G2,Q1,D01,Q1,D02,1315,1315,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,95,78,,1,1,4,2,2,,,,,
2021,010100242,965.802142244207,G2,1,3,57,G4,2,1,G2,Q3,D05,Q4,D07,37704,604,0,0,37100,37000,18000,19000,0,0,0,0,0,0,0,0,0,0,0,0,37704,4625,4159,,1,4,2,1,2,,,,,
2021,010100252,980.540752183058,G2,1,3,38,G2,2,1,G1,Q2,D04,Q2,D03,16774,5274,0,0,11500,11500,11500,0,8224,8224,7300,7300,0,904,904,0,0,998,686,312,8550,3670,3087,,3,3,2,1,1,,1,2,,2
2021,010100262,365.859894776739,G2,2,1,58,G4,4,1,G2,Q1,D01,Q2,D03,9707,1207,0,0,8500,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,9707,793,786,,2,1,2,1,2,,,,,
2021,010100272,944.254089519626,G2,2,1,79,G5,3,1,G2,Q1,D01,Q3,D06,23100,100,0,0,23000,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,23100,701,529,,1,1,4,2,2,,,,,
2021,010100282,1646.71276445285,G2,1,3,53,G4,2,1,G1,Q4,D08,Q4,D07,59260,17080,1000,0,42180,38000,23000,15000,16000,10000,10000,0,10000,0,0,0,0,330,0,330,43260,9008,6442,20,1,1,3,1,2,,2,2,,1
2021,010100312,3284.31438609492,G1,1,4,57,G4,2,1,G1,Q4,D07,Q5,D09,100304,14304,1500,0,86000,80000,71000,9000,9500,9000,9000,9000,0,0,0,0,0,458,242,216,90804,6540,5734,,1,7,3,1,1,,1,1,1,2
2021,010100342,2042.8867032614,G1,1,2,61,G5,2,1,G1,Q3,D05,Q3,D05,22010,1010,0,0,21000,21000,20000,1000,200,200,0,0,0,0,0,0,0,0,0,0,21810,3923,3665,,1,1,1,1,2,,3,1,2,3
2021,010100372,715.613777758003,G1,2,4,57,G4,3,1,G1,Q4,D08,Q5,D10,262258,1558,0,0,260700,257000,65000,192000,78596,584,0,0,0,400,400,0,0,180,180,0,183662,7319,6735,40,2,1,3,1,2,,2,2,,1
2021,010100382,2042.6509549366,G1,1,2,63,G5,2,3,G1,Q2,D03,Q3,D05,19900,18900,0,18000,1000,0,0,0,100,100,0,0,0,0,0,0,0,100,100,0,19800,2670,2386,5,1,2,4,2,2,,3,2,,1
2021,010100392,1189.38947090202,G1,1,2,61,G5,2,3,G2,Q3,D05,Q1,D02,3400,3300,0,3000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,4014,3801,,2,2,4,1,2,,,,,
2021,010101122,1636.06564749326,G1,1,4,51,G4,2,1,G1,Q5,D10,Q5,D10,258786,17886,2096,0,240900,240400,210000,23000,40400,39400,39000,34000,5000,0,0,0,0,1049,0,1049,218386,13583,8955,,3,7,3,1,3,3,3,1,2,2
2021,010101162,753.445127415695,G1,1,2,39,G2,1,2,G2,Q4,D07,Q3,D05,20100,20100,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20100,6572,6429,,2,1,4,1,2,,,,,
2021,010101172,1314.3561542297,G1,1,3,58,G4,2,1,G2,Q4,D08,Q4,D08,51230,9230,530,0,42000,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,51230,8403,7350,,2,1,2,1,2,,,,,
2021,010101182,403.737774558743,G1,1,3,65,G5,2,1,G1,Q4,D07,Q5,D10,260600,27100,25500,0,233500,230000,140000,90000,1500,500,0,0,0,500,0,500,0,418,400,18,259100,7245,5588,20,1,1,3,1,2,,1,2,,1
2021,010700111,2103.07516130177,G1,1,3,37,G2,2,2,G1,Q5,D10,Q5,D10,167820,130320,8400,121000,37500,26000,0,26000,51946,51946,47082,0,0,4864,0,4864,0,21739,20458,1281,115874,26881,17160,,3,7,2,1,1,,3,2,,2
2021,010700141,1981.92143931572,G1,2,2,50,G4,4,3,G1,Q2,D04,Q1,D01,1010,1010,0,500,0,0,0,0,4360,4360,1500,0,0,0,0,0,1860,398,218,180,-3350,3536,3143,,3,5,2,2,2,,3,2,,3
