"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","보완_소득5분위코드","보완_소득10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","보완_경상소득","보완_처분가능소득","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2018,523200261,870.533787224574,G2,2,1,63,G5,4,3,G1,Q1,D01,Q1,D01,1020,1020,0,1000,0,0,0,0,20,20,0,0,0,0,0,0,0,300,300,0,1000,600,566,,1,1,1,1,2,,3,1,2,2
2018,523200281,1075.03673570554,G2,2,2,54,G4,3,1,G2,Q1,D02,Q2,D04,11368,2318,0,0,9050,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,11368,1754,1586,,1,1,1,2,2,,,,,
2018,523201201,1037.53828258803,G2,1,3,41,G3,2,1,G1,Q5,D09,Q4,D08,44632,10432,480,0,34200,32000,32000,0,6000,6000,4000,4000,0,2000,2000,0,0,540,350,190,38632,10724,8911,,1,1,4,2,2,,2,2,,2
2018,523201221,1099.54660998689,G1,1,4,40,G3,2,1,G1,Q5,D09,Q4,D08,52302,6252,144,0,46050,44000,34000,10000,11100,11100,11100,11100,0,0,0,0,0,1480,1000,480,41202,9787,7834,,3,1,4,2,1,,1,2,,2
2018,523201231,954.754332060253,G2,1,4,51,G4,2,1,G1,Q2,D04,Q4,D08,48434,6714,0,0,41720,41500,40000,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,46934,2923,2585,,1,1,3,1,2,,2,2,,2
2018,523501201,626.39566805941,G2,2,1,63,G5,3,1,G1,Q5,D09,Q3,D06,103510,510,0,0,103000,103000,13000,90000,82100,79500,65000,0,65000,0,0,0,0,5680,2920,2760,21410,10383,7209,,,,,,,,,,,
2018,523501211,683.244288002641,G2,1,1,64,G5,1,3,G1,Q2,D03,Q1,D01,536,536,0,300,0,0,0,0,1435,1435,0,0,0,368,368,0,1047,355,216,139,-899,1946,1712,,,,,,,,,,,
2018,523501221,746.55324016519,G1,1,2,68,G5,2,1,G2,Q5,D09,Q5,D10,180550,50000,500,0,130550,130000,75000,55000,0,0,0,0,0,0,0,0,0,0,0,0,180550,9521,7984,,,,,,,,,,,
2018,523501261,734.558386722304,G2,2,1,77,G5,3,1,G2,Q1,D01,Q2,D04,11200,1200,0,0,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,806,733,,1,1,4,2,2,,,,,
2018,523503341,680.637216131155,G2,1,3,55,G4,2,1,G1,Q4,D07,Q4,D07,34880,9280,0,0,25600,24000,24000,0,7160,7160,7000,7000,0,0,0,0,0,3940,3720,220,27720,5616,4758,10,1,1,2,1,1,,1,2,,1
2018,523503351,870.57010731884,G2,1,5,52,G4,2,1,G1,Q4,D08,Q4,D08,45224,32924,0,0,12300,11000,8000,3000,100,0,0,0,0,0,0,0,0,0,0,0,45124,6867,5983,,,,,,,,,,,
2018,523503371,854.376805747234,G2,1,4,56,G4,2,1,G1,Q3,D05,Q4,D07,63280,5280,0,0,58000,55000,55000,0,34020,32020,30000,30000,0,2000,0,2000,0,1680,610,1070,29260,4209,2271,,,,,,,,,,,
2018,523503391,649.751711447628,G2,1,2,85,G5,2,1,G2,Q1,D02,Q2,D04,12430,330,0,0,12100,12100,2500,9600,0,0,0,0,0,0,0,0,0,0,0,0,12430,1294,1263,,,,,,,,,,,
